epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2909.11,0.92948,0.95291,1.30282,0.72258,0.54798,0.6339,0.39983,1.35536,1.38209,1.72466,0.000636762,0.000636762,0.000636762
114,2935.1,0.9148,0.99826,1.30637,0.73118,0.5086,0.61758,0.39031,1.37397,1.37035,1.73702,0.000629689,0.000629689,0.000629689
115,2960.82,0.91583,0.97921,1.28293,0.66729,0.5967,0.64397,0.39294,1.39596,1.40843,1.78741,0.000622615,0.000622615,0.000622615
116,2986.62,0.9672,0.99964,1.33605,0.66753,0.59032,0.65391,0.404,1.38432,1.34234,1.73987,0.000615542,0.000615542,0.000615542
117,3012.8,0.93047,0.94809,1.303,0.69193,0.61604,0.65954,0.4066,1.39908,1.33771,1.74377,0.000608468,0.000608468,0.000608468
118,3038.85,0.89561,0.97982,1.29433,0.80248,0.50116,0.63554,0.39958,1.39986,1.39944,1.77343,0.000601395,0.000601395,0.000601395
119,3064.6,0.88481,0.93934,1.28541,0.66902,0.53361,0.63676,0.40638,1.36416,1.41621,1.75232,0.000594321,0.000594321,0.000594321
120,3090.54,0.92389,0.95093,1.30934,0.71719,0.53749,0.63284,0.39118,1.40579,1.3922,1.76262,0.000587248,0.000587248,0.000587248
121,3116.45,0.8719,0.87148,1.26719,0.68724,0.55644,0.62628,0.41511,1.3747,1.36139,1.72361,0.000580174,0.000580174,0.000580174
122,3142.52,0.8676,0.91068,1.26574,0.74343,0.57823,0.66933,0.4397,1.33243,1.28682,1.73902,0.0005731,0.0005731,0.0005731
123,3168.46,0.83936,0.84697,1.24312,0.61894,0.60483,0.63589,0.42313,1.32795,1.30604,1.69788,0.000566027,0.000566027,0.000566027
124,3194.34,0.85256,0.88538,1.2553,0.79774,0.53951,0.67219,0.42456,1.37291,1.26966,1.74336,0.000558953,0.000558953,0.000558953
125,3219.99,0.85616,0.91034,1.25542,0.73145,0.56889,0.64425,0.41372,1.37265,1.35906,1.72095,0.00055188,0.00055188,0.00055188
126,3245.96,0.89682,0.93768,1.27427,0.78048,0.57641,0.66149,0.42004,1.40314,1.28698,1.79893,0.000544806,0.000544806,0.000544806
127,3271.75,0.866,0.85798,1.24804,0.75477,0.5889,0.66864,0.41255,1.39255,1.31987,1.80794,0.000537733,0.000537733,0.000537733
128,3297.67,0.85855,0.85358,1.26942,0.8462,0.54638,0.67784,0.42019,1.4016,1.32774,1.79693,0.000530659,0.000530659,0.000530659
129,3323.65,0.85496,0.87428,1.25978,0.75953,0.50067,0.63571,0.40414,1.44642,1.38079,1.83586,0.000523586,0.000523586,0.000523586
130,3349.28,0.86787,0.88555,1.27269,0.69741,0.52256,0.63244,0.40149,1.46564,1.32303,1.84194,0.000516512,0.000516512,0.000516512
131,3375.12,0.83209,0.81153,1.23784,0.61469,0.64105,0.66516,0.42139,1.39406,1.3478,1.77255,0.000509438,0.000509438,0.000509438
132,3400.94,0.82623,0.81885,1.22433,0.69534,0.60179,0.65212,0.41598,1.43142,1.32093,1.79738,0.000502365,0.000502365,0.000502365
133,3426.74,0.82918,0.80519,1.22616,0.66729,0.62198,0.65591,0.42106,1.38247,1.35399,1.75396,0.000495291,0.000495291,0.000495291
134,3452.55,0.82466,0.79415,1.21722,0.69713,0.54945,0.63026,0.39636,1.39958,1.35477,1.75546,0.000488218,0.000488218,0.000488218
135,3478.35,0.80493,0.79731,1.21379,0.6409,0.64913,0.65441,0.40689,1.43605,1.34924,1.84244,0.000481144,0.000481144,0.000481144
136,3504.47,0.82652,0.78666,1.21565,0.78491,0.52596,0.65503,0.40841,1.41673,1.40337,1.80971,0.000474071,0.000474071,0.000474071
137,3530.25,0.83164,0.7917,1.20938,0.68508,0.59653,0.65512,0.41663,1.35971,1.36705,1.72628,0.000466997,0.000466997,0.000466997
138,3556.16,0.80982,0.78651,1.19446,0.83232,0.51207,0.66346,0.42281,1.35473,1.32201,1.74076,0.000459924,0.000459924,0.000459924
139,3581.97,0.81658,0.77772,1.21095,0.76274,0.60016,0.67031,0.42787,1.35847,1.31116,1.72484,0.00045285,0.00045285,0.00045285
140,3607.82,0.82602,0.79343,1.24807,0.72916,0.57544,0.64502,0.4114,1.36092,1.32231,1.76632,0.000445777,0.000445777,0.000445777
141,3633.71,0.80745,0.78412,1.2008,0.67884,0.61559,0.63973,0.40616,1.37932,1.36162,1.76167,0.000438703,0.000438703,0.000438703
142,3664.44,0.78987,0.7472,1.18023,0.67239,0.57427,0.63152,0.40763,1.378,1.35732,1.7208,0.000431629,0.000431629,0.000431629
143,3690.32,0.82876,0.81194,1.22487,0.73398,0.55136,0.66351,0.42593,1.3383,1.24531,1.71599,0.000424556,0.000424556,0.000424556
144,3716.21,0.78643,0.75185,1.184,0.64062,0.59903,0.64011,0.41952,1.3448,1.39684,1.71383,0.000417482,0.000417482,0.000417482
145,3742.1,0.81467,0.82367,1.22282,0.74794,0.53173,0.64681,0.40994,1.40255,1.34807,1.78544,0.000410409,0.000410409,0.000410409
146,3767.97,0.80188,0.78445,1.19883,0.65194,0.55622,0.62591,0.40262,1.3862,1.34297,1.81805,0.000403335,0.000403335,0.000403335
147,3793.84,0.77705,0.76227,1.20537,0.71442,0.53764,0.6215,0.39227,1.45202,1.42793,1.82854,0.000396262,0.000396262,0.000396262
148,3819.67,0.82598,0.8157,1.23617,0.63129,0.60425,0.64887,0.41722,1.38348,1.37748,1.74684,0.000389188,0.000389188,0.000389188
149,3845.57,0.78089,0.7757,1.18942,0.68107,0.59883,0.66151,0.42428,1.35979,1.32597,1.72259,0.000382115,0.000382115,0.000382115
150,3871.36,0.75312,0.71916,1.1669,0.71023,0.5778,0.65635,0.42428,1.36386,1.28226,1.73475,0.000375041,0.000375041,0.000375041
151,3897.13,0.77937,0.71836,1.17728,0.69587,0.59774,0.67151,0.43183,1.35474,1.26409,1.73962,0.000367967,0.000367967,0.000367967
152,3923.27,0.75049,0.75317,1.17665,0.7741,0.57842,0.66499,0.43538,1.36478,1.28223,1.74054,0.000360894,0.000360894,0.000360894
